region,N,exact_area,estimated_area,relative_error,absolute_error
wide,100,0.944517,0.9,0.0471322,0.0445172
wide,600,0.944517,0.975,0.0322734,0.0304828
wide,1100,0.944517,0.932727,0.0124825,0.0117899
wide,1600,0.944517,1.00687,0.0660208,0.0623578
wide,2100,0.944517,0.972857,0.0300047,0.02834
wide,2600,0.944517,0.951923,0.00784093,0.00740589
wide,3100,0.944517,0.949355,0.00512183,0.00483765
wide,3600,0.944517,0.9425,0.00213568,0.00201719
wide,4100,0.944517,0.919756,0.0262156,0.0247611
wide,4600,0.944517,0.917609,0.0284891,0.0269085
wide,5100,0.944517,0.93,0.01537,0.0145172
wide,5600,0.944517,0.91125,0.0352214,0.0332672
wide,6100,0.944517,0.925082,0.0205769,0.0194352
wide,6600,0.944517,0.925909,0.0197012,0.0186081
wide,7100,0.944517,0.922817,0.022975,0.0217003
wide,7600,0.944517,0.939079,0.00575769,0.00543824
wide,8100,0.944517,0.945556,0.00109937,0.00103837
wide,8600,0.944517,0.939767,0.00502875,0.00474974
wide,9100,0.944517,0.932637,0.0125777,0.0118798
wide,9600,0.944517,0.936562,0.00842196,0.00795469
wide,10100,0.944517,0.93297,0.0122252,0.0115469
wide,10600,0.944517,0.937358,0.00757921,0.0071587
wide,11100,0.944517,0.940541,0.00421024,0.00397665
wide,11600,0.944517,0.931034,0.0142747,0.0134827
wide,12100,0.944517,0.927521,0.0179949,0.0169965
wide,12600,0.944517,0.92,0.0259574,0.0245172
wide,13100,0.944517,0.911679,0.0347668,0.0328378
wide,13600,0.944517,0.911912,0.0345207,0.0326054
wide,14100,0.944517,0.911489,0.0349679,0.0330278
wide,14600,0.944517,0.911096,0.0353845,0.0334213
wide,15100,0.944517,0.915497,0.0307252,0.0290205
wide,15600,0.944517,0.916731,0.0294186,0.0277864
wide,16100,0.944517,0.919006,0.0270095,0.025511
wide,16600,0.944517,0.921687,0.0241715,0.0228304
wide,17100,0.944517,0.921579,0.0242857,0.0229382
wide,17600,0.944517,0.920455,0.0254761,0.0240626
wide,18100,0.944517,0.920884,0.0250215,0.0236332
wide,18600,0.944517,0.92371,0.0220298,0.0208075
wide,19100,0.944517,0.919791,0.0261791,0.0247266
wide,19600,0.944517,0.921582,0.0242828,0.0229356
wide,20100,0.944517,0.919254,0.0267475,0.0252635
wide,20600,0.944517,0.921408,0.0244669,0.0231094
wide,21100,0.944517,0.925166,0.020488,0.0193513
wide,21600,0.944517,0.923333,0.0224282,0.0211839
wide,22100,0.944517,0.921584,0.0242806,0.0229335
wide,22600,0.944517,0.926681,0.0188835,0.0178358
wide,23100,0.944517,0.928052,0.0174324,0.0164652
wide,23600,0.944517,0.930508,0.0148316,0.0140087
wide,24100,0.944517,0.93473,0.0103618,0.0097869
wide,24600,0.944517,0.93622,0.0087851,0.00829767
wide,25100,0.944517,0.934781,0.0103082,0.00973631
wide,25600,0.944517,0.940781,0.00395539,0.00373594
wide,26100,0.944517,0.941379,0.0033222,0.00313788
wide,26600,0.944517,0.941955,0.00271281,0.0025623
wide,27100,0.944517,0.94583,0.0013902,0.00131307
wide,27600,0.944517,0.951522,0.00741601,0.00700455
wide,28100,0.944517,0.950605,0.00644541,0.0060878
wide,28600,0.944517,0.954126,0.0101731,0.00960869
wide,29100,0.944517,0.950722,0.00656893,0.00620446
wide,29600,0.944517,0.949257,0.00501798,0.00473957
wide,30100,0.944517,0.949934,0.00573454,0.00541637
wide,30600,0.944517,0.951176,0.00705046,0.00665928
wide,31100,0.944517,0.949775,0.00556658,0.00525773
wide,31600,0.944517,0.949557,0.00533582,0.00503978
wide,32100,0.944517,0.951589,0.007487,0.0070716
wide,32600,0.944517,0.952454,0.00840303,0.0079368
wide,33100,0.944517,0.951662,0.00756412,0.00714445
wide,33600,0.944517,0.951161,0.00703378,0.00664353
wide,34100,0.944517,0.950938,0.00679843,0.00642123
wide,34600,0.944517,0.949162,0.0049175,0.00464466
wide,35100,0.944517,0.948974,0.004719,0.00445717
wide,35600,0.944517,0.950309,0.00613202,0.0057918
wide,36100,0.944517,0.947867,0.00354663,0.00334985
wide,36600,0.944517,0.948197,0.00389568,0.00367954
wide,37100,0.944517,0.946577,0.00218062,0.00205963
wide,37600,0.944517,0.946436,0.00203171,0.00191898
wide,38100,0.944517,0.945118,0.000636224,0.000600924
wide,38600,0.944517,0.946166,0.00174546,0.00164862
wide,39100,0.944517,0.946726,0.00233893,0.00220916
wide,39600,0.944517,0.949318,0.00508302,0.004801
wide,40100,0.944517,0.949152,0.0049072,0.00463493
wide,40600,0.944517,0.946995,0.00262344,0.00247789
wide,41100,0.944517,0.944672,0.000163414,0.000154347
wide,41600,0.944517,0.948029,0.00371794,0.00351166
wide,42100,0.944517,0.9481,0.00379302,0.00358258
wide,42600,0.944517,0.947535,0.00319531,0.00301803
wide,43100,0.944517,0.950325,0.00614879,0.00580764
wide,43600,0.944517,0.949954,0.00575632,0.00543694
wide,44100,0.944517,0.951429,0.00731737,0.00691139
wide,44600,0.944517,0.950852,0.00670695,0.00633483
wide,45100,0.944517,0.951885,0.0078003,0.00736751
wide,45600,0.944517,0.952697,0.0086607,0.00818018
wide,46100,0.944517,0.952126,0.00805557,0.00760863
wide,46600,0.944517,0.953112,0.00909925,0.0085944
wide,47100,0.944517,0.954841,0.01093,0.0103236
wide,47600,0.944517,0.955021,0.0111208,0.0105038
wide,48100,0.944517,0.954449,0.0105153,0.00993188
wide,48600,0.944517,0.953333,0.00933403,0.00881615
wide,49100,0.944517,0.956273,0.0124463,0.0117557
wide,49600,0.944517,0.955343,0.0114615,0.0108256
wide,50100,0.944517,0.955868,0.0120179,0.0113511
wide,50600,0.944517,0.955316,0.0114334,0.010799
wide,51100,0.944517,0.958121,0.0144033,0.0136041
wide,51600,0.944517,0.958605,0.014915,0.0140875
wide,52100,0.944517,0.959597,0.0159656,0.0150797
wide,52600,0.944517,0.960913,0.0173585,0.0163954
wide,53100,0.944517,0.961017,0.017469,0.0164998
wide,53600,0.944517,0.961791,0.0182886,0.0172739
wide,54100,0.944517,0.962551,0.019093,0.0180336
wide,54600,0.944517,0.962308,0.0188356,0.0177905
wide,55100,0.944517,0.962069,0.0185828,0.0175518
wide,55600,0.944517,0.963615,0.0202198,0.0190979
wide,56100,0.944517,0.961925,0.0184305,0.0174079
wide,56600,0.944517,0.960742,0.0171779,0.0162249
wide,57100,0.944517,0.960525,0.0169486,0.0160082
wide,57600,0.944517,0.959844,0.0162269,0.0153266
wide,58100,0.944517,0.959793,0.0161736,0.0152763
wide,58600,0.944517,0.95959,0.0159587,0.0150733
wide,59100,0.944517,0.958782,0.0151025,0.0142645
wide,59600,0.944517,0.958742,0.01506,0.0142244
wide,60100,0.944517,0.959151,0.0154939,0.0146342
wide,60600,0.944517,0.957327,0.013562,0.0128095
wide,61100,0.944517,0.956268,0.0124415,0.0117512
wide,61600,0.944517,0.956104,0.0122673,0.0115867
wide,62100,0.944517,0.954928,0.0110219,0.0104104
wide,62600,0.944517,0.953626,0.00964409,0.00910901
wide,63100,0.944517,0.951347,0.00723108,0.00682988
wide,63600,0.944517,0.950802,0.00665388,0.0062847
wide,64100,0.944517,0.948861,0.00459914,0.00434397
wide,64600,0.944517,0.948762,0.00449375,0.00424442
wide,65100,0.944517,0.949493,0.0052682,0.0049759
wide,65600,0.944517,0.948979,0.00472355,0.00446147
wide,66100,0.944517,0.949561,0.00534038,0.00504408
wide,66600,0.944517,0.949189,0.00494645,0.004672
wide,67100,0.944517,0.949762,0.00555243,0.00524436
wide,67600,0.944517,0.948328,0.00403509,0.00381122
wide,68100,0.944517,0.947841,0.0035195,0.00332422
wide,68600,0.944517,0.948411,0.00412263,0.00389389
wide,69100,0.944517,0.949233,0.00499283,0.00471581
wide,69600,0.944517,0.95069,0.00653505,0.00617247
wide,70100,0.944517,0.952382,0.00832714,0.00786513
